,station,date,prcp
0,USC00519397,2010-01-01,0.08
1,USC00519397,2010-01-02,0.0
2,USC00519397,2010-01-03,0.0
3,USC00519397,2010-01-04,0.0
5,USC00519397,2010-01-07,0.06
6,USC00519397,2010-01-08,0.0
7,USC00519397,2010-01-09,0.0
8,USC00519397,2010-01-10,0.0
9,USC00519397,2010-01-11,0.01
10,USC00519397,2010-01-12,0.0
11,USC00519397,2010-01-14,0.0
12,USC00519397,2010-01-15,0.0
13,USC00519397,2010-01-16,0.0
14,USC00519397,2010-01-17,0.0
15,USC00519397,2010-01-18,0.0
16,USC00519397,2010-01-19,0.0
17,USC00519397,2010-01-20,0.0
18,USC00519397,2010-01-21,0.0
19,USC00519397,2010-01-22,0.0
20,USC00519397,2010-01-23,0.0
21,USC00519397,2010-01-24,0.01
22,USC00519397,2010-01-25,0.0
23,USC00519397,2010-01-26,0.04
24,USC00519397,2010-01-27,0.12
25,USC00519397,2010-01-28,0.0
27,USC00519397,2010-01-31,0.03
28,USC00519397,2010-02-01,0.01
30,USC00519397,2010-02-04,0.01
31,USC00519397,2010-02-05,0.0
32,USC00519397,2010-02-06,0.0
33,USC00519397,2010-02-07,0.0
34,USC00519397,2010-02-08,0.0
35,USC00519397,2010-02-09,0.0
36,USC00519397,2010-02-11,0.0
37,USC00519397,2010-02-12,0.02
38,USC00519397,2010-02-13,0.01
39,USC00519397,2010-02-14,0.0
40,USC00519397,2010-02-15,0.0
41,USC00519397,2010-02-16,0.0
42,USC00519397,2010-02-17,0.0
44,USC00519397,2010-02-20,0.03
45,USC00519397,2010-02-21,0.0
46,USC00519397,2010-02-22,0.0
47,USC00519397,2010-02-23,0.0
48,USC00519397,2010-02-24,0.0
49,USC00519397,2010-02-25,0.0
50,USC00519397,2010-02-26,0.0
51,USC00519397,2010-02-28,0.0
52,USC00519397,2010-03-01,0.01
53,USC00519397,2010-03-02,0.0
54,USC00519397,2010-03-03,0.0
55,USC00519397,2010-03-04,0.12
56,USC00519397,2010-03-05,0.08
57,USC00519397,2010-03-06,0.03
58,USC00519397,2010-03-07,0.0
59,USC00519397,2010-03-08,0.43
60,USC00519397,2010-03-09,0.06
62,USC00519397,2010-03-12,0.0
